iter	RMSE
713	28502.87313
714	28488.10147
715	28483.00419
716	28462.87696
717	28451.19583
718	28436.25318
719	28425.90743
720	28411.38669
721	28397.1274
722	28373.33045
723	28363.45538
724	28348.16376
725	28338.88218
726	28327.03166
727	28305.13219
728	28284.52166
729	28263.9888
730	28246.36623
731	28236.03494
732	28219.45036
733	28202.85026
734	28193.52544
735	28190.98385
736	28174.68316
737	28151.08056
738	28136.35419
739	28121.72904
740	28108.8466
741	28090.10832
742	28069.75306
743	28055.10713
744	28038.04603
745	28022.76397
746	28003.38684
747	27986.16524
748	27971.20742
749	27944.92001
750	27928.86577
751	27914.26194
752	27891.59423
753	27874.35343
754	27855.59319
755	27842.2565
756	27830.55432
757	27819.74156
758	27803.48757
759	27782.74764
760	27768.91857
761	27750.62172
762	27739.3314
763	27722.94612
764	27709.80733
765	27691.04658
766	27676.76946
767	27653.28693
768	27637.39341
769	27621.62292
770	27612.39373
771	27594.556
772	27576.54672
773	27554.90629
774	27541.88684
775	27518.27653
776	27491.69612
777	27477.75521
778	27459.319
779	27444.90084
780	27432.1496
781	27417.7701
782	27401.71042
783	27388.50589
784	27373.97386
785	27358.61387
786	27341.49824
787	27317.0706
788	27303.12433
789	27290.06259
790	27263.73614
791	27246.56723
792	27242.27693
793	27224.27512
794	27207.00776
795	27192.68006
796	27178.19295
797	27165.79829
798	27146.03132
799	27125.09771
800	27111.02904
801	27099.10071
802	27087.63119
803	27077.56926
804	27067.73052
805	27045.49071
806	27038.26457
807	27027.18757
808	27013.48974
809	27000.79484
810	26983.32483
811	26972.55145
812	26953.86933
813	26936.63297
814	26923.08051
815	26911.40998
816	26887.23993
817	26873.94414
818	26854.65642
819	26840.05337
820	26820.16496
821	26805.05513
822	26790.16851
823	26780.51445
824	26768.82571
825	26755.61121
826	26729.40206
827	26713.81852
828	26685.41158
829	26666.21211
830	26644.94583
831	26631.06335
832	26612.99581
833	26601.45798
834	26586.59121
835	26574.25511
836	26558.79128
837	26550.97698
838	26527.07898
839	26508.93987
840	26494.34659
841	26477.67936
842	26467.01306
843	26457.77159
844	26442.5892
845	26433.25469
846	26424.70587
847	26416.58054
848	26406.23552
849	26387.7513
850	26373.53554
